BubbleSort;QuickSort;InsertionSort;ShellSort;Misto;std::sort
55;53;53;72;55;58
52;229;58;83;84;81
74;274;111;59;56;58
71;313;82;67;63;51
64;220;66;68;59;72
79;277;74;80;67;96
123;425;126;104;78;71
159;472;136;146;87;81
154;554;96;146;93;111
188;611;102;157;123;122
282;649;143;183;113;105
296;645;143;236;124;125
369;698;145;210;129;127
364;732;139;229;141;136
447;874;165;291;148;145
490;945;158;276;160;159
497;920;182;303;171;180
571;968;181;327;200;230
692;2037;245;453;273;301
663;1632;265;496;380;305
824;1341;240;470;218;279
883;1409;276;494;249;322
881;1599;312;523;251;331
962;1669;313;610;258;367
987;1490;264;499;265;350
1021;1552;277;542;274;385
1099;1671;295;623;351;496
1176;1705;316;626;350;516
1335;1785;374;683;361;434
1351;1858;334;730;397;464
1533;2085;398;765;412;616
1620;2180;406;830;408;600
1915;2660;411;765;372;495
2036;2831;471;841;402;563
1870;2250;440;805;414;640
1878;2287;486;827;492;779
2008;2605;442;881;470;563
2086;2776;474;927;511;608
2271;2773;467;1015;470;638
2411;2817;490;1030;492;678
2574;2815;574;1151;656;754
2696;2937;621;1137;685;805
2650;2820;523;1173;546;749
2716;2829;563;1167;575;817
2844;3267;612;1161;629;870
2918;3318;612;1250;619;886
3603;3390;831;1316;641;950
3771;3473;730;1290;704;949
3013;3598;662;1403;652;821
3100;3610;674;1543;675;887
3674;3879;829;1519;767;862
3761;3835;871;1620;713;905
3634;3648;861;1928;1188;1097
3711;3711;883;2031;1192;1189
4320;3841;765;1852;866;1016
4561;3972;780;1822;890;1107
3881;4329;848;1766;831;1034
3970;4447;865;1778;840;1105
4573;4158;1055;1971;882;1128
4756;4183;1118;2033;872;1273
8613;5264;941;2316;1372;1182
8881;6624;1204;2211;1277;1147
5545;4738;1080;2031;1221;1339
5860;4713;1138;2237;1121;1371
5914;5529;1360;2728;1274;1673
6026;5452;1439;2981;1244;1754
6685;5192;1141;2324;1288;1267
6437;5598;1093;2551;1357;1417
5436;5322;1157;2114;1049;1416
5462;5507;1255;2097;1070;1533
6110;5458;1436;2494;1132;1280
6188;5396;1499;2595;1202;1506
6624;5387;1360;2200;1378;1338
6739;5523;1466;2210;1400;1394
7277;5069;1289;2493;1400;2059
7576;5400;1338;2622;1477;2092
8984;5771;1416;2482;1350;1612
9220;7355;1501;2428;1535;1463
7654;5592;1814;3483;2108;2260
7744;5909;1867;3497;2223;2446
10427;7619;1810;2640;2702;2168
10923;8245;1842;2921;2648;2184
8086;6712;1589;3224;1864;2058
8199;6970;1657;3248;1834;2209
8503;6817;1660;3716;1532;1782
8629;6876;1794;3707;1658;1883
9494;6870;1599;3175;1492;2047
9564;6949;1677;3097;1552;2014
9998;6814;1743;3239;1803;1730
10200;6880;1713;3377;1782;1905
11651;6436;1801;3147;1664;2085
12037;6596;1777;3238;1706;2074
9937;7396;1865;3482;1721;1820
9991;9206;2042;3094;1686;2024
10054;7009;1812;3132;1675;2183
10316;7080;1785;3179;1705;2232
10747;7681;1887;3458;1733;1844
10938;7711;1920;3602;1730;1932
11426;7423;1948;3350;2148;1986
11512;7513;1936;3453;2119;2079
11464;7705;2174;3566;1967;2331
11634;7962;2121;3653;2006;2353
11762;8114;2243;6019;2475;2337
11895;8054;2372;5620;2489;2340
13920;8159;2594;3775;2093;2189
14047;8347;2582;3794;2058;2267
12986;9455;2825;5339;4489;3435
13152;10472;3024;24750;3799;3440
25145;9378;2959;4513;2335;2306
19501;8742;3155;4635;2692;2485
15613;8426;2601;4117;2348;2377
15748;8392;2671;4155;2355;2347
15071;12307;4891;5568;3215;2826
15200;12469;5039;5531;3289;2853
14004;7766;2408;4060;2526;2382
14127;7911;2500;4331;2433;2510
14707;9322;2667;4601;2537;2444
14984;9377;2672;4716;2509;2607
14726;8528;2548;4018;2270;2418
